sofa_id,name,pos,season,league,country,dom_g,dom_a,dom_tk,dom_cs,dom_sv,dom_rt,league_strength,target_ucl_fantasy_pts
187433,Serge Gnabry,MID,2122,Bund,Germany,14,5,47,3,0,7.33,17.125,17
847030,Noussair Mazraoui,DEF,2122,Ered,Netherlands,5,2,47,11,0,7.33,13.5,19
155995,Marquinhos,DEF,2122,L1,France,5,0,37,13,0,7.17,12.583,14
146866,Gerard Moreno,FWD,2122,LaLiga,Spain,9,3,5,2,0,7.41,16.571,22
136710,Mateo Kovačić,MID,2122,PL,England,2,5,51,6,0,7.2,23.0,8
142622,Antonio Rüdiger,DEF,2122,PL,England,3,0,48,14,0,7.11,23.0,33
798583,Dayot Upamecano,DEF,2122,Bund,Germany,1,6,66,7,0,7.15,17.125,21
822519,Éder Militão,DEF,2122,LaLiga,Spain,1,2,50,13,0,7.14,16.571,24
958959,Jurriën Timber,DEF,2122,Ered,Netherlands,3,2,73,16,0,7.39,13.5,11
186795,Andreas Christensen,DEF,2122,PL,England,0,0,14,9,0,7.02,23.0,27
822708,Amadou Haidara,MID,2122,Bund,Germany,3,1,30,3,0,6.92,17.125,3
125407,Álvaro Morata,FWD,2122,SerieA,Italy,9,7,18,1,0,7.04,22.357,10
98435,Ross Barkley,MID,2122,PL,England,1,0,0,0,0,7.05,23.0,0
839956,Erling Haaland,FWD,2122,Bund,Germany,22,7,2,1,0,7.66,17.125,12
149380,Harry Maguire,DEF,2122,PL,England,1,0,34,6,0,6.91,23.0,12
864169,Pau Torres,DEF,2122,LaLiga,Spain,5,1,32,11,0,7.09,16.571,23
823984,Lautaro Martínez,FWD,2122,SerieA,Italy,21,3,20,2,0,7.12,22.357,5
976575,Nicolas Seiwald,MID,2122,AutBund,Austria,0,8,74,9,0,7.23,4.9,12
875136,Noa Lang,MID,2122,Belgium,Belgium,7,12,24,5,0,7.2,14.2,5
843200,Diogo Dalot,DEF,2122,PL,England,0,0,55,5,0,7,23.0,3
94286,Thorgan Hazard,MID,2122,Bund,Germany,4,1,23,2,0,6.8,17.125,0
883537,Luis Díaz,MID,2122,PL,England,4,3,9,2,0,7.23,23.0,27
331209,Bernardo Silva,MID,2122,PL,England,8,4,57,13,0,7.16,23.0,30
