Id,Name,Position,Price,TotalPts,Team
250090398,F. Chiesa,MID,6.0,0,7889
250139255,Gavi,MID,6.0,1,50080
250099867,Alisson Becker,GK,6.0,3,7889
250100013,G. Lo Celso,MID,6.0,0,52265
250138382,J. Leweling,MID,6.0,2,50107
50327420,V. van Dijk,DEF,6.0,3,7889
250159919,Pepê,MID,6.0,2,50064
250011668,T. Courtois,GK,6.0,4,50051
250154132,M. Godts,MID,6.0,1,52747
250129159,S. Auklend,MID,6.0,0,59333
250076168,M. Cucurella,DEF,6.0,3,50051
250209227,Kauã Elias,FWD,6.0,0,52707
250075625,Ayoze Pérez,FWD,6.0,0,70691
250078922,G. Donnarumma,GK,6.0,5,52919
250186228,Samu,FWD,6.0,0,50064
250050391,A. Šporar,FWD,6.0,2,52797
250182090,Andrey Santos,MID,6.0,0,52682
250155025,G. Mikautadze,FWD,6.0,5,70691
250201120,L. Karl,MID,6.0,0,50037
250106003,N. Pépé,MID,6.0,4,70691
250143679,M. Zubimendi,MID,6.0,1,52280
250106762,J. Zirkzee,FWD,6.0,0,52682
250121294,T. Reijnders,MID,6.0,0,52919
250067629,T. Abraham,FWD,6.0,1,52683
250223119,S. Camara,FWD,6.0,7,52797
250042406,T. Chorý,FWD,6.0,0,52498
250143328,Pedro Gonçalves,MID,6.0,0,50149
250124222,M. Beier,FWD,6.0,6,52758
250174822,Savinho,MID,6.0,0,52919
250088061,A. Hakimi,DEF,6.0,3,52747
250167832,Jobe Bellingham,MID,6.0,1,52758
250164991,João Neves,MID,6.0,0,52747
250100997,A. Dovbyk,FWD,6.0,0,50137
250105244,A. Tchouaméni,MID,6.0,1,50051
250136465,Nuno Mendes,DEF,6.0,6,52747
250174126,W. Pacho,DEF,6.0,4,52747
250221011,H. Abdelkarim,FWD,6.0,0,50080
250174644,M. Usor,FWD,6.0,2,63405
250182962,M. Liberali,MID,6.0,0,79946
250187620,R. Pepi,FWD,6.0,0,50062
250197264,C. Driouech,MID,6.0,0,50062
250064811,L. Provod,MID,6.0,0,52498
