Name,Position,Price,TotalPts,MDPts,Selected%,Goals,Assists,BallsRecovered,CleanSheets,RedCards,YellowCards,MinsPlayed,TransfersIn,TransfersOut,NextOpponent
D. Neres,MID,6.5,1,0,0,0,0,1,0,0,0,14,135,387,VIL (A)
F. Nmecha,MID,6.5,3,0,2,0,0,5,0,0,0,75,8670,8702,BOD (A)
F. Thauvin,MID,6.5,0,0,1,0,0,0,0,0,0,0,9348,5936,SLA (A)
Fabián Ruiz,MID,6.5,7,0,2,1,0,1,0,0,0,90,4350,4676,MCI (A)
G. Catamo,MID,6.5,8,0,0,1,0,3,0,0,0,90,1732,1999,LEN (A)
G. Kochorashvili,MID,6.5,0,0,0,0,0,0,0,0,0,0,16,122,LEN (A)
G. Simeone,MID,6.5,3,0,1,0,0,4,0,0,0,90,3096,4481,MUN (H)
H. Mkhitaryan,MID,6.5,1,0,0,0,0,0,0,0,0,7,308,531,BRU (H)
H. Vanaken,MID,6.5,2,0,1,0,0,4,0,0,1,77,4071,3686,INT (A)
I. Ndiaye,MID,6.5,1,0,0,0,0,0,0,0,0,28,1832,1611,PSG (H)
I. Perišić,MID,6.5,0,0,1,0,0,0,0,0,0,0,2424,2283,SHK (H)
I. Saibari,MID,6.5,0,0,2,0,0,0,0,0,0,0,7138,8663,BOD (H)
Isco,MID,6.5,5,0,1,0,1,0,0,0,0,61,1088,1301,POR (H)
J. Kimmich,MID,6.5,0,0,4,0,0,0,0,0,0,0,11717,10276,BOD (H)
J. Manzambi,MID,6.5,0,0,0,0,0,0,0,0,0,0,237,1007,FEN (H)
J. McGinn,MID,6.5,10,0,1,1,0,3,0,0,1,90,2262,1672,FEN (H)
J. Veerman,MID,6.5,3,0,0,0,0,3,0,0,0,90,276,489,BOD (A)
L. Sané,MID,6.5,1,0,1,0,0,0,0,0,0,58,2538,3159,BAR (H)
M. Llorente,MID,6.5,9,0,2,1,0,4,0,0,0,90,4564,5542,MUN (H)
M. Merino,MID,6.5,4,0,1,0,0,3,1,0,0,66,1181,1818,LIL (H)
N. Barella,MID,6.5,2,0,1,0,0,2,0,0,0,60,2117,2420,BRU (H)
N. Lang,MID,6.5,0,0,0,0,0,0,0,0,0,0,101,342,VIL (A)
N. Madueke,MID,6.5,1,0,0,0,0,0,0,0,0,17,744,1361,LIL (H)
Nuno Santos,MID,6.5,0,0,0,0,0,0,0,0,0,0,47,299,LEN (A)
S. Gnabry,MID,6.5,0,0,0,0,0,0,0,0,0,0,432,1403,BOD (H)
Y. Tielemans,MID,6.5,0,0,1,0,0,0,0,0,0,0,1838,2073,SAB (H)
İ. Gündoğan,MID,6.5,1,0,0,0,0,0,0,0,0,6,208,580,BAR (H)
A. Nusa,MID,6,0,0,1,0,0,0,0,0,0,0,4214,3787,COM (A)
A. Tchouaméni,MID,6,1,0,1,0,0,0,0,0,0,11,2021,4496,ROM (A)
Ahmed Kutucu,MID,6,0,0,0,0,0,0,0,0,0,0,7,95,BAR (H)
Andrey Santos,MID,6,0,0,0,0,0,0,0,0,0,0,497,805,SAB (H)
C. Driouech,MID,6,0,0,0,0,0,0,0,0,0,0,79,312,SHK (H)
Carlos Forbs,MID,6,3,0,1,0,0,4,0,0,0,90,3816,2515,INT (A)
D. Frattesi,MID,6,0,0,0,0,0,0,0,0,0,0,43,295,BRU (H)
E. Buendía,MID,6,8,0,1,1,0,3,0,0,0,68,4511,2866,FEN (H)
F. Chiesa,MID,6,0,0,0,0,0,0,0,0,0,0,240,788,LASK (A)
F. de Jong,MID,6,0,0,0,0,0,0,0,0,0,0,586,1789,GAL (A)
G. Lo Celso,MID,6,0,0,0,0,0,0,0,0,0,0,106,413,POR (H)
Gavi,MID,6,1,0,1,0,0,0,0,0,0,8,1561,1705,GAL (A)
J. Leweling,MID,6,2,0,0,0,0,2,0,0,0,62,814,886,SBR (A)
Jobe Bellingham,MID,6,1,0,1,0,0,0,0,0,0,15,3585,3388,BOD (A)
João Neves,MID,6,0,0,11,0,0,0,0,0,0,0,36556,29382,MCI (A)
Kerem Aktürkoğlu,MID,6,0,0,0,0,0,0,0,0,0,0,378,447,ROM (H)
Koke,MID,6,2,0,0,0,0,5,0,0,0,59,1011,1354,MUN (H)
L. Karl,MID,6,0,0,1,0,0,0,0,0,0,0,2383,3102,BOD (H)
L. Provod,MID,6,0,0,0,0,0,0,0,0,0,0,221,670,LEN (H)
L. Torreira,MID,6,7,0,0,0,1,8,0,0,0,85,1056,1228,BAR (H)
M. Godts,MID,6,1,0,0,0,0,0,0,0,0,26,969,924,MCI (A)
M. Guendouzi,MID,6,0,0,0,0,0,0,0,0,0,0,151,536,ROM (H)
M. Hjulmand,MID,6,1,0,0,0,0,0,0,0,0,13,732,1169,MUN (H)
M. Liberali,MID,6,0,0,0,0,0,0,0,0,0,0,184,378,RBL (H)
M. Sabitzer,MID,6,3,0,0,0,0,5,0,0,0,75,1611,1761,BOD (A)
M. Zubimendi,MID,6,1,0,1,0,0,1,0,0,0,9,2287,2475,LIL (H)
N. Pépé,MID,6,4,0,0,0,1,0,0,0,0,31,1355,1824,NAP (H)
Pedro Gonçalves,MID,6,0,0,0,0,0,0,0,0,0,0,693,1715,LEN (A)
Pepê,MID,6,2,0,0,0,0,2,0,0,0,90,388,346,BET (A)
S. Auklend,MID,6,0,0,0,0,0,0,0,0,0,0,80,214,BAY (A)
Savinho,MID,6,0,0,0,0,0,0,0,0,0,0,154,735,PSG (H)
T. Reijnders,MID,6,0,0,0,0,0,0,0,0,0,0,35,199,PSG (H)
A. Sima,MID,5.5,0,0,0,0,0,0,0,0,0,0,235,269,SLA (A)
A. Stanković,MID,5.5,0,0,1,0,0,0,0,0,0,0,2690,2818,BRU (H)
A. Stiller,MID,5.5,6,0,0,0,1,5,0,0,0,90,1151,1040,SBR (A)
Alisson Santos,MID,5.5,1,0,0,0,0,2,0,0,0,58,948,1289,VIL (A)
Amad Diallo,MID,5.5,0,0,0,0,0,0,0,0,0,0,613,2087,SAB (H)
Arnau Ortiz,MID,5.5,0,0,0,0,0,0,0,0,0,0,6,22,MUN (H)
B. El Khannouss,MID,5.5,3,0,1,0,0,4,0,0,0,71,6069,2938,SBR (A)
B. Sainz,MID,5.5,1,0,0,0,0,2,0,0,0,22,174,315,BET (A)
Barış Alper Yılmaz,MID,5.5,2,0,0,0,0,0,0,0,0,90,1677,2103,BAR (H)
C. Führich,MID,5.5,4,0,0,0,0,6,0,0,0,90,649,431,SBR (A)
C. Jones,MID,5.5,3,0,0,0,0,3,0,0,0,90,574,751,BRU (H)
C. Martínez,MID,5.5,3,0,0,0,0,5,0,0,0,80,177,175,STU (H)
C. Nwachukwu,MID,5.5,0,0,0,0,0,0,0,0,0,0,41,48,MUN (A)
E. Camavinga,MID,5.5,0,0,0,0,0,0,0,0,0,0,769,2086,ROM (A)
E. Mbappé,MID,5.5,1,0,0,0,1,1,0,1,0,56,560,588,ARS (A)
F. Potts,MID,5.5,4,0,0,0,0,6,0,0,0,86,118,100,INT (A)
Félix Correia,MID,5.5,0,0,0,0,0,0,0,0,0,0,12,69,ARS (A)
G. Til,MID,5.5,0,0,1,0,0,0,0,0,0,0,7785,4868,SHK (H)
Gabriel Carvalho,MID,5.5,0,0,0,0,0,0,0,0,0,0,24,58,PSV (A)
H. Haraldsson,MID,5.5,2,0,0,0,0,2,0,0,0,90,966,616,ARS (A)
I. Babadi,MID,5.5,0,0,0,0,0,0,0,0,0,0,57,180,SHK (H)
J. Bakayoko,MID,5.5,0,0,0,0,0,0,0,0,0,0,389,367,COM (A)
J. Grealish,MID,5.5,0,0,0,0,0,0,0,0,0,0,44,198,PSG (H)
J. Mickels,MID,5.5,0,0,0,0,0,0,0,0,0,0,160,137,MUN (A)
J. Schouten,MID,5.5,0,0,0,0,0,0,0,0,0,0,707,772,SHK (H)
Joao Gomes,MID,5.5,4,0,0,0,1,2,0,0,1,90,402,270,FEN (H)
K. Kairinen,MID,5.5,0,0,0,0,0,0,0,0,0,0,194,242,SHK (A)
K. Karetsas,MID,5.5,1,0,1,0,0,0,0,0,0,27,4563,2287,BOD (A)
Kang-in Lee,MID,5.5,1,0,2,0,0,2,0,0,0,59,5155,6000,MUN (H)
L. Goretzka,MID,5.5,0,0,0,0,0,0,0,0,0,0,764,948,FEN (H)
L. Pellegrini,MID,5.5,0,0,0,0,0,0,0,0,0,0,82,201,FEN (A)
M. Araújo,MID,5.5,2,0,4,0,0,1,0,0,0,90,16191,13133,LEN (A)
M. Baturina,MID,5.5,0,0,2,0,0,0,0,0,0,0,10725,5850,RBL (H)
M. Casadó,MID,5.5,0,0,0,0,0,0,0,0,0,0,33,195,GAL (A)
M. Fernandez-Pardo,MID,5.5,0,0,0,0,0,0,0,0,0,0,40,133,ARS (A)
M. Kovačić,MID,5.5,1,0,0,0,0,2,0,0,0,15,834,994,PSG (H)
M. Lemina,MID,5.5,0,0,0,0,0,0,0,0,0,0,396,953,BAR (H)
M. Mount,MID,5.5,0,0,0,0,0,0,0,0,0,0,505,614,SAB (H)
M. Politano,MID,5.5,1,0,0,0,0,1,0,0,0,58,406,507,VIL (A)
M. Sadílek,MID,5.5,0,0,0,0,0,0,0,0,0,0,249,329,LEN (H)
N. Kanté,MID,5.5,0,0,1,0,0,0,0,0,0,0,1616,1335,ROM (H)
Newertton,MID,5.5,0,0,0,0,0,0,0,0,0,0,93,164,PSV (A)
Nico González,MID,5.5,0,0,0,0,0,0,0,0,0,0,91,479,PSG (H)
R. Bardghji,MID,5.5,0,0,0,0,0,0,0,0,0,0,43,145,GAL (A)
R. Barkley,MID,5.5,2,0,0,0,0,5,0,0,0,23,227,307,FEN (H)
R. Ljubičić,MID,5.5,2,0,0,0,0,1,0,0,0,65,288,145,LIV (H)
R. Marin,MID,5.5,14,0,0,1,0,6,1,0,0,90,3280,1246,SHK (A)
R. Nelson,MID,5.5,0,0,0,0,0,0,0,0,0,0,330,845,COM (H)
R. Ngumoha,MID,5.5,2,0,1,0,0,0,0,0,0,60,1183,1835,LASK (A)
R. van Bommel,MID,5.5,0,0,1,0,0,0,0,0,0,0,3861,1961,SHK (H)
Rodrigo Mora,MID,5.5,0,0,0,0,0,0,0,0,0,0,1252,1214,FEN (A)
S. Lobotka,MID,5.5,3,0,0,0,0,4,0,0,0,77,316,506,VIL (A)
S. Steijn,MID,5.5,6,0,0,1,0,1,0,0,0,19,56,123,COM (H)
T. Hazard,MID,5.5,0,0,0,0,0,0,0,0,0,0,111,133,SLA (A)
Talisca,MID,5.5,0,0,0,0,0,0,0,0,0,0,529,1363,ROM (H)
V. Muñoz,MID,5.5,1,0,1,0,0,0,0,0,0,30,5243,4180,LASK (A)
W. Mike,MID,5.5,0,0,0,0,0,0,0,0,0,0,52,53,INT (A)
William Gomes,MID,5.5,3,0,0,0,0,4,0,0,0,68,1395,819,BET (A)
Z. Tripić,MID,5.5,7,0,0,1,0,2,0,0,0,90,859,591,BAY (H)
Álex Baena,MID,5.5,2,0,3,0,0,0,0,0,0,73,11230,11012,MUN (H)
İrfan Can Kahveci,MID,5.5,0,0,0,0,0,0,0,0,0,0,35,52,ROM (H)
A. Bouaddi,MID,5,4,0,1,0,0,5,1,0,0,75,2309,2192,PSG (H)
A. Diao,MID,5,0,0,1,0,0,0,0,0,0,0,6322,2547,RBL (H)
A. Diouf,MID,5,2,0,0,0,0,1,0,0,0,90,1112,991,BRU (H)
A. Haidara,MID,5,0,0,0,0,0,0,0,0,0,0,33,39,SLA (A)
A. Ibrahimović,MID,5,0,0,0,0,0,0,0,0,0,0,25,101,BOD (H)
A. Moleiro,MID,5,1,0,0,0,0,1,0,0,0,32,192,286,NAP (H)
A. Nahany,MID,5,0,0,0,0,0,0,0,0,0,0,2,6,COM (H)
A. Onana,MID,5,0,0,0,0,0,0,0,0,0,0,95,279,FEN (H)
A. Ouedraogo,MID,5,0,0,0,0,0,0,0,0,0,0,105,208,COM (A)
A. Pavlović,MID,5,0,0,3,0,0,0,0,0,0,0,12209,9961,BOD (H)
A. Varela,MID,5,2,0,0,0,0,2,0,0,0,68,59,97,BET (A)
A. Vermeeren,MID,5,0,0,0,0,0,0,0,0,0,0,207,640,COM (A)
Alysson,MID,5,1,0,0,0,0,2,0,0,0,23,80,98,FEN (H)
André Miranda,MID,5,0,0,0,0,0,0,0,0,0,0,7,5,BET (A)
B. André,MID,5,2,0,0,0,0,1,0,0,0,76,67,64,ARS (A)
B. Gruda,MID,5,0,0,0,0,0,0,0,0,0,0,43,85,COM (A)
B. Kamara,MID,5,3,0,0,0,0,4,0,0,0,68,716,499,FEN (H)
C. Baleba,MID,5,0,0,0,0,0,0,0,0,0,0,102,248,SAB (H)
C. Chukwuemeka,MID,5,1,0,0,0,0,1,0,0,0,8,916,1186,BOD (A)
C. Nørgaard,MID,5,0,0,0,0,0,0,0,0,0,0,0,14,LIL (H)
D. Ceballos,MID,5,0,0,0,0,0,0,0,0,0,0,679,493,POR (H)
Daniel Yañez,MID,5,0,0,0,0,0,0,0,0,0,0,13,16,ROM (A)
Dro Fernández,MID,5,6,0,0,0,1,5,0,0,0,90,115,212,MCI (A)
Duarte Cunha,MID,5,0,0,0,0,0,0,0,0,0,0,7,7,BET (A)
E. Elmas,MID,5,0,0,0,0,0,0,0,0,0,0,32,153,COM (A)
E. Garnier,MID,5,0,0,0,0,0,0,0,0,0,0,11,31,SLA (A)
E. Guessand,MID,5,0,0,0,0,0,0,0,0,0,0,12,61,FEN (H)
E. Nwaneri,MID,5,1,0,0,0,0,2,0,0,0,55,1394,939,BOD (A)
F. Anguissa,MID,5,0,0,0,0,0,0,0,0,0,0,617,1130,VIL (A)
F. Mastantuono,MID,5,0,0,0,0,0,0,0,0,0,0,24,112,ROM (A)
Fábio Vieira,MID,5,0,0,0,0,0,0,0,0,0,0,25,125,LIL (H)
G. Konstantelias,MID,5,0,0,0,0,0,0,0,0,0,0,207,346,BOD (A)
G. Perrin,MID,5,5,0,0,0,1,0,0,0,0,61,13,38,ARS (A)
G. Veron,MID,5,0,0,0,0,0,0,0,0,0,0,6,15,BET (A)
Gabriel Sara,MID,5,2,0,1,0,0,0,0,0,0,84,3710,3141,BAR (H)
Gabriel Teixeira,MID,5,0,0,0,0,0,0,0,0,0,0,5,22,LEN (A)
Gabriel Veiga,MID,5,3,0,0,0,0,5,0,0,0,83,2300,1590,BET (A)
Gonçalo Borges,MID,5,4,0,0,0,1,0,0,0,0,19,51,74,COM (H)
H. Chooly,MID,5,0,0,0,0,0,0,0,0,0,0,10,11,BAY (A)
H. Vetlesen,MID,5,7,0,0,1,0,1,0,0,0,77,1246,802,INT (A)
I. Akhomach,MID,5,0,0,0,0,0,0,0,0,0,0,95,158,NAP (H)
I. Lepinjica,MID,5,0,0,0,0,0,0,0,0,0,0,22,26,MUN (A)
I. Schranz,MID,5,0,0,0,0,0,0,0,0,0,0,47,99,LEN (H)
Isaque,MID,5,0,0,0,0,0,0,0,0,0,0,145,145,PSV (A)
J. Addai,MID,5,0,0,0,0,0,0,0,0,0,0,221,204,RBL (H)
J. Bell,MID,5,3,0,0,0,0,6,0,0,1,62,23,33,BAY (H)
J. Bisiwu,MID,5,0,0,0,0,0,0,0,0,0,0,29,29,GAL (A)
J. Cajuste,MID,5,0,0,0,0,0,0,0,0,0,0,21,129,VIL (A)
J. Derry,MID,5,0,0,0,0,0,0,0,0,0,0,26,20,LEN (A)
J. Kadile,MID,5,0,0,0,0,0,0,0,0,0,0,2,2,SLA (A)
J. Lindstrøm,MID,5,0,0,0,0,0,0,0,0,0,0,25,143,VIL (A)
J. Malanga,MID,5,0,0,0,0,0,0,0,0,0,0,25,21,SBR (A)
J. Schaken,MID,5,0,0,0,0,0,0,0,0,0,0,2,3,COM (H)
J. Virgili,MID,5,4,0,0,0,1,1,0,0,1,86,277,90,INT (A)
J. Zinhagel,MID,5,0,0,0,0,0,0,0,0,0,0,10,10,COM (H)
K. Aliyev,MID,5,0,0,0,0,0,0,0,0,0,0,1,2,MUN (A)
K. Askildsen,MID,5,3,0,0,0,0,7,0,0,1,90,43,32,BAY (H)
K. Mainoo,MID,5,0,0,2,0,0,0,0,0,0,0,5248,3671,SAB (H)
K. Parris,MID,5,0,0,0,0,0,0,0,0,0,0,21,20,MUN (A)
L. Bailey,MID,5,0,0,0,0,0,0,0,0,0,0,97,329,FEN (H)
L. Da Cunha,MID,5,0,0,0,0,0,0,0,0,0,0,499,456,RBL (H)
L. Majer,MID,5,5,0,0,0,0,7,1,0,0,89,2721,889,SHK (A)
L. Sauer,MID,5,1,0,0,0,0,0,0,0,0,19,58,66,SBR (A)
L. Ugochukwu,MID,5,1,0,0,0,0,0,0,0,0,6,105,125,BAR (H)
L. Valente,MID,5,2,0,0,0,0,2,0,0,0,83,115,132,COM (H)
Luis Guilherme,MID,5,2,0,0,0,0,1,0,0,0,90,84,109,LEN (A)
M. Albert,MID,5,0,0,0,0,0,0,0,0,0,0,101,90,BOD (A)
M. Caqueret,MID,5,0,0,0,0,0,0,0,0,0,0,100,111,RBL (H)
M. Cardozo,MID,5,0,0,0,0,0,0,0,0,0,0,26,17,BOD (H)
M. Catovic,MID,5,0,0,0,0,0,0,0,0,0,0,28,44,SBR (A)
M. De Roon,MID,5,0,0,0,0,0,0,0,0,0,0,1778,1307,FEN (A)
M. Dowman,MID,5,0,0,0,0,0,0,0,0,0,0,240,182,LIL (H)
M. Koné,MID,5,0,0,1,0,0,0,0,0,0,0,2574,2118,FEN (A)
M. Perrone,MID,5,0,0,0,0,0,0,0,0,0,0,182,204,RBL (H)
M. Robberechts,MID,5,0,0,0,0,0,0,0,0,0,0,3,2,INT (A)
M. Sangaré,MID,5,0,0,0,0,0,0,0,0,0,0,0,4,SLA (A)
M. Suleiman,MID,5,0,0,0,0,0,0,0,0,0,0,21,42,LEN (H)
Mateus Mide,MID,5,0,0,0,0,0,0,0,0,0,0,1,3,BET (A)
N. Edjouma,MID,5,0,0,0,0,0,0,0,0,0,0,26,28,ARS (A)
N. El Aynaoui,MID,5,0,0,0,0,0,0,0,0,0,0,309,435,COM (A)
N. Fuglestad,MID,5,0,0,0,0,0,0,0,0,0,0,6,7,BAY (H)
N. Irankunda,MID,5,0,0,0,0,0,0,0,0,0,0,466,421,LEN (A)
N. Kühn,MID,5,0,0,0,0,0,0,0,0,0,0,15,56,RBL (H)
O. Blomberg,MID,5,0,0,0,0,0,0,0,0,0,0,512,415,BAY (A)
O. Kubiak,MID,5,0,0,0,0,0,0,0,0,0,0,28,35,LEN (H)
O. Pietuszewski,MID,5,0,0,0,0,0,0,0,0,0,0,112,341,BET (A)
O. Targhalline,MID,5,2,0,0,0,0,5,0,0,0,45,22,50,COM (H)
O. Vargas,MID,5,0,0,0,0,0,0,0,0,0,0,116,208,MUN (H)
Oğuz Aydın,MID,5,0,0,0,0,0,0,0,0,0,0,220,172,ROM (H)
P. Barrios,MID,5,3,0,1,0,0,5,0,0,0,77,2380,2038,MUN (H)
P. Berg,MID,5,0,0,2,0,0,0,0,0,0,0,6507,4579,BAY (A)
P. Fornals,MID,5,5,0,1,0,1,2,0,0,0,90,1870,1388,POR (H)
P. Gueye,MID,5,4,0,0,0,0,6,0,0,0,90,911,1059,NAP (H)
P. Kacor,MID,5,0,0,0,0,0,0,0,0,0,0,14,54,LEN (H)
P. Obah,MID,5,0,0,0,0,0,0,0,0,0,0,55,90,PSV (A)
P. Pokorný,MID,5,3,0,0,0,0,5,0,0,0,90,133,181,STU (H)
P. Sučić,MID,5,1,0,0,0,0,0,0,0,0,30,475,609,BRU (H)
P. Zieliński,MID,5,1,0,1,0,0,0,0,0,0,30,2556,2678,BRU (H)
Pedrinho,MID,5,0,0,0,0,0,0,0,0,0,0,79,210,PSV (A)
Pedro Lima,MID,5,0,0,0,0,0,0,0,0,0,0,63,66,LEN (A)
R. Gravenberch,MID,5,2,0,4,0,0,3,0,0,0,21,17225,16774,LASK (A)
R. Mendoza,MID,5,0,0,0,0,0,0,0,0,0,0,55,60,MUN (H)
R. Onyedika,MID,5,0,0,0,0,0,0,0,0,0,0,46,253,INT (A)
R. Reitz,MID,5,0,0,0,0,0,0,0,0,0,0,108,309,COM (A)
R. Riquelme,MID,5,5,0,0,0,1,0,0,0,0,81,1196,966,POR (H)
Rodrigo Rodrigues,MID,5,0,0,0,0,0,0,0,0,0,0,29,26,LEN (A)
S. Andersen,MID,5,1,0,0,0,0,1,0,0,0,16,80,72,LEN (A)
S. Brunstad Fet,MID,5,0,0,1,0,0,0,0,0,0,0,5070,3285,BAY (A)
S. Comesaña,MID,5,5,0,0,0,0,10,0,0,0,90,178,232,NAP (H)
S. Diaoune,MID,5,0,0,0,0,0,0,0,0,0,0,11,10,ARS (A)
S. Fofana,MID,5,1,0,0,0,0,1,0,0,0,7,90,102,BET (A)
S. Horvath,MID,5,2,0,0,0,0,1,0,0,0,90,245,104,LIV (H)
S. Mayulu,MID,5,1,0,0,0,0,1,0,0,0,26,321,578,MCI (A)
T. Almada,MID,5,0,0,0,0,0,0,0,0,0,0,131,782,MUN (H)
T. Barseghyan,MID,5,2,0,0,0,0,1,0,0,0,60,87,104,STU (H)
T. Bischof,MID,5,0,0,0,0,0,0,0,0,0,0,208,315,BOD (H)
T. Thompson,MID,5,0,0,0,0,0,0,0,0,0,0,8,13,SAB (H)
Thiago Fernández,MID,5,0,0,0,0,0,0,0,0,0,0,3,24,NAP (H)
U. Rakhmonaliev,MID,5,0,0,0,0,0,0,0,0,0,0,57,55,MUN (A)
V. Simić,MID,5,0,0,0,0,0,0,0,0,0,0,128,114,MUN (A)
W. Zaïre-Emery,MID,5,0,0,2,0,0,0,0,0,0,0,8536,8515,MCI (A)
Y. Sanyang,MID,5,0,0,0,0,0,0,0,0,0,0,140,179,LEN (H)
Yunus Akgün,MID,5,2,0,0,0,0,1,0,0,0,85,729,849,BAR (H)
A. Batrakov,MID,4.5,2,0,0,0,0,2,0,0,0,64,737,305,BAR (H)
A. Bondarenko,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,33,PSV (A)
A. Bulatović,MID,4.5,0,0,0,0,0,0,0,0,0,0,93,80,SLA (A)
A. Cosic,MID,4.5,0,0,0,0,0,0,0,0,0,0,182,229,BAY (H)
A. Gajdoš,MID,4.5,1,0,0,0,0,0,0,0,0,10,11,14,STU (H)
A. Granados,MID,4.5,0,0,0,0,0,0,0,0,0,0,277,412,INT (A)
A. Isaev,MID,4.5,0,0,0,0,0,0,0,0,0,0,69,55,MUN (A)
A. Khaibulaev,MID,4.5,0,0,0,0,0,0,0,0,0,0,31,36,MUN (A)
A. Lahdo,MID,4.5,0,0,0,0,0,0,0,0,0,0,150,119,RBL (H)
A. Maksimović,MID,4.5,0,0,0,0,0,0,0,0,0,0,35,34,COM (A)
A. Mikkelsen,MID,4.5,0,0,0,0,0,0,0,0,0,0,68,224,BAY (A)
A. Mustafić,MID,4.5,1,0,0,0,0,0,0,0,0,30,26,24,STU (H)
A. Ortiz,MID,4.5,0,0,0,0,0,0,0,0,0,0,50,50,POR (H)
A. Santos,MID,4.5,0,0,0,0,0,0,0,0,0,0,39,30,SHK (H)
A. Sanyang,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,5,BAY (A)
A. Schöpf,MID,4.5,1,0,0,0,0,0,0,0,0,26,35,23,LIV (H)
A. Sliti,MID,4.5,0,0,0,0,0,0,0,0,0,0,15,29,COM (H)
A. Smakaj,MID,4.5,0,0,0,0,0,0,0,0,0,0,27,17,LIV (H)
Aitor Ruibal,MID,4.5,0,0,0,0,0,0,0,0,0,0,23,52,POR (H)
Alisson Santana,MID,4.5,0,0,0,0,0,0,0,0,0,0,452,227,PSV (A)
Allan Elias,MID,4.5,0,0,0,0,0,0,0,0,0,0,60,55,PSG (H)
Alpha Diallo,MID,4.5,0,0,0,0,0,0,0,0,0,0,42,167,SLA (A)
Atakan Karazor,MID,4.5,0,0,0,0,0,0,0,0,0,0,161,315,SBR (A)
B. Cristante,MID,4.5,0,0,0,0,0,0,0,0,0,0,588,351,FEN (A)
B. Gilmour,MID,4.5,1,0,0,0,0,2,0,0,1,90,448,438,VIL (A)
B. Kaltefleiter,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,7,COM (A)
B. Sapoko Ndiaye,MID,4.5,0,0,0,0,0,0,0,0,0,0,111,74,BOD (H)
Bartuğ Elmaz,MID,4.5,0,0,0,0,0,0,0,0,0,0,32,36,ROM (H)
Başar Önal,MID,4.5,1,0,0,0,0,0,0,0,0,2,101,68,ARS (A)
Berat Luş,MID,4.5,0,0,0,0,0,0,0,0,0,0,44,45,BAR (H)
Bernardo Lima,MID,4.5,0,0,0,0,0,0,0,0,0,0,19,16,BET (A)
Bruninho,MID,4.5,0,0,0,0,0,0,0,0,0,0,946,686,PSV (A)
C. Echeverri,MID,4.5,0,0,0,0,0,0,0,0,0,0,128,398,PSG (H)
C. Güner,MID,4.5,0,0,0,0,0,0,0,0,0,0,82,99,BAR (H)
C. Lang,MID,4.5,2,0,0,0,0,2,0,0,0,74,2186,472,LIV (H)
C. Sandra,MID,4.5,0,0,0,0,0,0,0,0,0,0,117,441,INT (A)
C. Tsawa,MID,4.5,1,0,0,0,0,0,0,0,0,14,118,106,INT (A)
C. Vanhoutte,MID,4.5,2,0,0,0,0,3,0,0,1,71,107,119,COM (H)
Carlos Macia,MID,4.5,0,0,0,0,0,0,0,0,0,0,33,18,NAP (H)
Chema Andrés,MID,4.5,0,0,0,0,0,0,0,0,0,0,16,66,SBR (A)
D. Bakwa,MID,4.5,1,0,0,0,0,1,0,0,0,29,92,55,ARS (A)
D. Bassi,MID,4.5,0,0,0,0,0,0,0,0,0,0,9,53,BAY (A)
D. Douděra,MID,4.5,0,0,0,0,0,0,0,0,0,0,584,446,LEN (H)
D. Ihnatenko,MID,4.5,0,0,0,0,0,0,0,0,0,0,10,9,STU (H)
D. Kaloskamis,MID,4.5,0,0,0,0,0,0,0,0,0,0,43,30,SHK (A)
D. Kryskiv,MID,4.5,0,0,0,0,0,0,0,0,0,0,13,11,PSV (A)
D. Matsuoka,MID,4.5,0,0,0,0,0,0,0,0,0,0,28,18,STU (H)
D. Moses,MID,4.5,0,0,0,0,0,0,0,0,0,0,425,1017,LEN (H)
D. Smetana,MID,4.5,0,0,0,0,0,0,0,0,0,0,250,188,PSV (A)
Daniel Bragança,MID,4.5,0,0,0,0,0,0,0,0,0,0,64,247,LEN (A)
Diego Villalba,MID,4.5,0,0,0,0,0,0,0,0,0,0,18,18,ROM (A)
Du Queiroz,MID,4.5,0,0,0,0,0,0,0,0,0,0,6,2,MUN (A)
E. Ayaosi,MID,4.5,0,0,0,0,0,0,0,0,0,0,137,59,LEN (H)
E. Duarte,MID,4.5,0,0,0,0,0,0,0,0,0,0,43,40,BOD (A)
E. Eliassen,MID,4.5,0,0,0,0,0,0,0,0,0,0,4,4,BAY (A)
E. Yigit,MID,4.5,0,0,0,0,0,0,0,0,0,0,52,36,SBR (A)
Eyüp Karasu,MID,4.5,0,0,0,0,0,0,0,0,0,0,36,28,BAR (H)
F. Bernal,MID,4.5,1,0,0,0,0,2,0,0,1,67,410,247,POR (H)
F. Flecker,MID,4.5,1,0,0,0,0,0,0,0,0,26,49,38,LIV (H)
F. Jeltsch,MID,4.5,3,0,0,0,0,4,0,0,0,71,173,121,SBR (A)
F. Lemarechal,MID,4.5,1,0,0,0,0,1,0,0,0,13,246,337,INT (A)
Flávio Gonçalves,MID,4.5,1,0,2,0,0,0,0,0,0,24,10312,2703,LEN (A)
Furkan Koçak,MID,4.5,0,0,0,0,0,0,0,0,0,0,68,41,BAR (H)
G. Diarra,MID,4.5,0,0,0,0,0,0,0,0,0,0,281,234,COM (H)
G. Prömel,MID,4.5,4,0,0,0,0,6,0,0,0,90,1154,638,SBR (A)
