k,pos,n,r2,adj_r2
1,DEF,380,0.077,0.062
2,DEF,346,0.143,0.128
3,DEF,312,0.154,0.137
4,DEF,274,0.159,0.14
1,FWD,133,0.341,0.31
2,FWD,116,0.35,0.314
3,FWD,100,0.366,0.326
4,FWD,86,0.383,0.336
1,GK,90,0.195,0.157
2,GK,84,0.141,0.097
3,GK,76,0.108,0.058
4,GK,65,0.112,0.053
1,MID,450,0.2,0.189
2,MID,401,0.168,0.155
3,MID,350,0.166,0.152
4,MID,297,0.158,0.141
